tags_values	value	varchar	NO
telegram_posts	topic_id	int4	NO
telegram_posts	telegram_id	int4	NO
telegram_posts	postdate	timestamptz	NO
topic_users_notified	topic	int4	NO
topic_users_notified	userid	int4	NO
topics	id	int4	NO
topics	groupid	int4	NO
topics	userid	int4	NO
topics	title	varchar	NO
topics	url	varchar	YES
topics	moderate	bool	NO
topics	postdate	timestamptz	NO
topics	linktext	varchar	YES
topics	deleted	bool	NO
topics	stat1	int4	NO
topics	stat3	int4	NO
topics	lastmod	timestamptz	NO
topics	commitby	int4	YES
topics	notop	bool	NO
topics	commitdate	timestamptz	YES
topics	postscore	int4	YES
topics	postip	inet	YES
topics	sticky	bool	NO
topics	ua_id	int4	YES
topics	resolved	bool	YES
topics	minor	bool	NO
topics	draft	bool	NO
topics	allow_anonymous	bool	NO
topics	reactions	jsonb	NO
topics	open_warnings	int4	NO
user_agents	id	int4	NO
user_agents	name	varchar	YES
user_events	userid	int4	NO
user_events	type	event_type	NO
user_events	private	bool	NO
user_events	event_date	timestamptz	NO
user_events	message_id	int4	YES
user_events	comment_id	int4	YES
user_events	message	text	YES
user_events	unread	bool	NO
user_events	id	int4	NO
user_events	origin_user	int4	YES
user_events	warning_id	int4	YES
user_invites	invite_code	text	NO
user_invites	owner	int4	NO
user_invites	issue_date	timestamptz	NO
user_invites	invited_user	int4	YES
user_invites	email	text	NO
user_invites	valid_until	timestamptz	NO
user_log	id	int4	NO
user_log	userid	int4	NO
user_log	action_userid	int4	NO
user_log	action_date	timestamptz	NO
user_log	action	user_log_action	NO
user_log	info	hstore	NO
user_remarks	id	int4	NO
user_remarks	user_id	int4	NO
user_remarks	ref_user_id	int4	NO
user_remarks	remark_text	varchar	NO
user_settings	id	int4	NO
user_settings	settings	hstore	NO
user_tags	user_id	int4	YES
user_tags	tag_id	int4	YES
user_tags	is_favorite	bool	YES
users	id	int4	NO
users	name	varchar	YES
users	nick	varchar	NO
users	passwd	varchar	YES
users	url	varchar	YES
users	email	varchar	YES
users	canmod	bool	NO
users	photo	varchar	YES
users	town	varchar	YES
users	candel	bool	NO
users	lostpwd	timestamptz	NO
users	blocked	bool	NO
users	score	int4	YES
users	max_score	int4	YES
users	lastlogin	timestamptz	YES
users	regdate	timestamptz	YES
users	activated	bool	NO
users	corrector	bool	NO
users	userinfo	text	YES
users	unread_events	int4	NO
users	new_email	varchar	YES
users	token_generation	int4	YES
users	frozen_until	timestamptz	YES
users	frozen_by	int4	YES
users	freezing_reason	varchar	YES
users	userinfo_markup	markup_type	NO
vote_users	vote	int4	NO
vote_users	userid	int4	NO
