status,methods,path,params,controller,handler,rust_match,source
covered,ANY,/check-login,,RegisterController,ajaxLoginCheck,GET /check-login,src/main/scala/ru/org/linux/user/RegisterController.scala:194
covered,POST,/clear-warning,,WarningController,clear,POST /clear-warning,src/main/scala/ru/org/linux/warning/WarningController.scala:198
covered,ANY,/comment-message.jsp,,AddCommentController,showFormTopic,GET /comment-message.jsp,src/main/scala/ru/org/linux/comment/AddCommentController.scala:71
covered,GET,/commit.jsp,,EditTopicController,showCommitForm,GET /commit.jsp,src/main/scala/ru/org/linux/topic/EditTopicController.scala:57
covered,GET,/delete.jsp,,DeleteTopicController,showForm,"GET,POST /delete.jsp",src/main/scala/ru/org/linux/topic/DeleteTopicController.scala:50
covered,POST,/delete.jsp,,DeleteTopicController,deleteMessage,"GET,POST /delete.jsp",src/main/scala/ru/org/linux/topic/DeleteTopicController.scala:73
covered,GET,/delete_comment.jsp,,DeleteCommentController,showForm,"GET,POST /delete_comment.jsp",src/main/scala/ru/org/linux/comment/DeleteCommentController.scala:44
covered,POST,/delete_comment.jsp,,DeleteCommentController,deleteComments,"GET,POST /delete_comment.jsp",src/main/scala/ru/org/linux/comment/DeleteCommentController.scala:83
covered,GET,/delete_image,,DeleteImageController,deleteForm,"GET,POST /delete_image",src/main/scala/ru/org/linux/gallery/DeleteImageController.scala:39
covered,POST,/delete_image,,DeleteImageController,deleteImage,"GET,POST /delete_image",src/main/scala/ru/org/linux/gallery/DeleteImageController.scala:56
covered,POST,/delip.jsp,,DelIPController,delIp,POST /delip.jsp,src/main/scala/ru/org/linux/admin/DelIPController.scala:44
covered,"GET,HEAD",/deregister.jsp,,DeregisterController,show,"GET,POST /deregister.jsp",src/main/scala/ru/org/linux/user/DeregisterController.scala:49
covered,POST,/deregister.jsp,,DeregisterController,deregister,"GET,POST /deregister.jsp",src/main/scala/ru/org/linux/user/DeregisterController.scala:56
covered,GET,/edit.jsp,,EditTopicController,showEditForm,"GET,POST /edit.jsp",src/main/scala/ru/org/linux/topic/EditTopicController.scala:84
