methods,path,spring_path,params,headers,consumes,produces,controller,handler,source_language,response_body,response_kind,response_status,response_content_types,request_params,path_variables,model_attributes,controller_model_attributes,controller_exception_handlers,form_fields,model_keys,view_names,source,line,annotation,class_annotation
GET,/post-warning,/post-warning,,,,,WarningController,showForm,scala,False,html-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/post-warning.jsp page directive"",""confidence"":""high""}]",[],[],"[{""name"":""request"",""parameter"":""request"",""type"":""PostWarningRequest"",""fields"":[""comment"",""ruleType"",""text"",""topic"",""warningType""],""source"":""annotation+bean-accessors"",""confidence"":""high""}]",[],[],"comment,ruleType,text,topic,warningType",,post-warning,src/main/scala/ru/org/linux/warning/WarningController.scala,50,"@RequestMapping(value = Array(""/post-warning""), method = Array(RequestMethod.GET))",
POST,/post-warning,/post-warning,,,,,WarningController,post,scala,False,html-view,,"[{""value"":""text/html;charset=UTF-8"",""source"":""WEB-INF/jsp/action-done.jsp page directive"",""confidence"":""high""},{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/post-warning.jsp page directive"",""confidence"":""high""}]",[],[],"[{""name"":""request"",""parameter"":""request"",""type"":""PostWarningRequest"",""fields"":[""comment"",""ruleType"",""text"",""topic"",""warningType""],""source"":""annotation+bean-accessors"",""confidence"":""high""}]",[],[],"comment,ruleType,text,topic,warningType","link,message","action-done,post-warning",src/main/scala/ru/org/linux/warning/WarningController.scala,98,"@RequestMapping(value = Array(""/post-warning""), method = Array(RequestMethod.POST))",
GET,/reactions,/reactions,comment,,,,ReactionController,commentReaction,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/reaction-comment.jsp page directive"",""confidence"":""high""}]","[{""name"":""comment"",""parameter"":""commentId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,reaction-comment,src/main/scala/ru/org/linux/reaction/ReactionController.scala,44,"@RequestMapping(params = Array(""comment""), method = Array(RequestMethod.GET))","@RequestMapping(path = Array(""/reactions""))"
POST,/reactions,/reactions,comment,,,,ReactionController,setCommentReaction,scala,False,redirect-or-view,,[],"[{""name"":""comment"",""parameter"":""commentId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""reaction"",""parameter"":""reactionAction"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,,src/main/scala/ru/org/linux/reaction/ReactionController.scala,90,"@RequestMapping(params = Array(""comment""), method = Array(RequestMethod.POST))","@RequestMapping(path = Array(""/reactions""))"
GET,/reactions,/reactions,!comment,,,,ReactionController,topicReaction,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/reaction-topic.jsp page directive"",""confidence"":""high""}]","[{""name"":""topic"",""parameter"":""topicId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,reaction-topic,src/main/scala/ru/org/linux/reaction/ReactionController.scala,114,"@RequestMapping(params = Array(""!comment""), method = Array(RequestMethod.GET))","@RequestMapping(path = Array(""/reactions""))"
POST,/reactions,/reactions,!comment,,,,ReactionController,setTopicReaction,scala,False,redirect-or-view,,[],"[{""name"":""topic"",""parameter"":""topicId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""reaction"",""parameter"":""reactionAction"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,,src/main/scala/ru/org/linux/reaction/ReactionController.scala,162,"@RequestMapping(params = Array(""!comment""), method = Array(RequestMethod.POST))","@RequestMapping(path = Array(""/reactions""))"
POST,/reactions/ajax,/reactions/ajax,comment,,,,ReactionController,setCommentReactionAjax,scala,True,json,,"[{""value"":""application/json"",""source"":""@ResponseBody Json + configured message converter"",""confidence"":""medium""}]","[{""name"":""comment"",""parameter"":""commentId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""reaction"",""parameter"":""reactionAction"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,,src/main/scala/ru/org/linux/reaction/ReactionController.scala,101,"@RequestMapping(value=Array(""/ajax""), params = Array(""comment""), method = Array(RequestMethod.POST))","@RequestMapping(path = Array(""/reactions""))"
POST,/reactions/ajax,/reactions/ajax,!comment,,,,ReactionController,setTopicReactionAjax,scala,True,json,,"[{""value"":""application/json"",""source"":""@ResponseBody Json + configured message converter"",""confidence"":""medium""}]","[{""name"":""topic"",""parameter"":""topicId"",""type"":""Int"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""},{""name"":""reaction"",""parameter"":""reactionAction"",""type"":""String"",""required"":true,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],[],[],"[{""handler"":""handleRateLimit"",""exceptions"":[""ReactionRateLimitException""],""response_status"":""TOO_MANY_REQUESTS"",""return_type"":null,""source"":""controller-exception-handler"",""confidence"":""high""}]",,,,src/main/scala/ru/org/linux/reaction/ReactionController.scala,172,"@RequestMapping(value = Array(""/ajax""), params = Array(""!comment""), method = Array(RequestMethod.POST))","@RequestMapping(path = Array(""/reactions""))"
GET,/register.jsp,/register.jsp,,,,,RegisterController,register,scala,False,redirect-or-view,,"[{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/no-register.jsp page directive"",""confidence"":""high""},{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/register.jsp page directive"",""confidence"":""high""}]",[],[],"[{""name"":""form"",""parameter"":""form"",""type"":""RegisterRequest"",""fields"":[""email"",""nick"",""password"",""password2"",""rules""],""source"":""annotation+bean-accessors"",""confidence"":""high""}]",[],[],"email,nick,password,password2,rules",,"no-register,register",src/main/scala/ru/org/linux/user/RegisterController.scala,50,"@RequestMapping(value = Array(""/register.jsp""), method = Array(RequestMethod.GET))",
POST,/register.jsp,/register.jsp,,,,,RegisterController,doRegister,scala,False,html-view,,"[{""value"":""text/html;charset=UTF-8"",""source"":""WEB-INF/jsp/action-done.jsp page directive"",""confidence"":""high""},{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/no-register.jsp page directive"",""confidence"":""high""},{""value"":""text/html; charset=utf-8"",""source"":""WEB-INF/jsp/register.jsp page directive"",""confidence"":""high""}]","[{""name"":""permit"",""parameter"":""permit"",""type"":""String"",""required"":false,""default"":null,""source"":""annotation"",""confidence"":""high""}]",[],"[{""name"":""form"",""parameter"":""form"",""type"":""RegisterRequest"",""fields"":[""email"",""nick"",""password"",""password2"",""rules""],""source"":""annotation+bean-accessors"",""confidence"":""high""}]",[],[],"email,nick,password,password2,rules",,"action-done,no-register,register",src/main/scala/ru/org/linux/user/RegisterController.scala,65,"@RequestMapping(value = Array(""/register.jsp""), method = Array(RequestMethod.POST))",
